,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
324,home_appliances,home_appliances,,,,,,,,,,,,,,,,,,,,,,
325,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
326,perfumery,air_conditioning,,,,,,,,,,,,,,,,,,,,,,
327,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
328,bed_bath_table,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
329,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
330,,fixed_telephony,,,,,,,,,,,,,,,,,,,,,,
331,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
332,computers_accessories,computers_accessories,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,
333,furniture_decor,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
334,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
335,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
336,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,,,
337,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
338,electronics,electronics,,,,,,,,,,,,,,,,,,,,,,
339,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
340,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
341,cine_photo,cine_photo,cool_stuff,telephony,,,,,,,,,,,,,,,,,,,,
342,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
343,toys,toys,,,,,,,,,,,,,,,,,,,,,,
344,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
345,home_construction,home_construction,home_construction,,,,,,,,,,,,,,,,,,,,,
346,construction_tools_safety,construction_tools_safety,,,,,,,,,,,,,,,,,,,,,,
347,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
348,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
349,fashion_bags_accessories,fashion_bags_accessories,,,,,,,,,,,,,,,,,,,,,,
350,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
351,furniture_living_room,furniture_living_room,,,,,,,,,,,,,,,,,,,,,,
352,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
